wallet,predicted_score,risk_category
User_310,328.06,High
User_311,10.1,High
User_312,595.02,Medium
User_313,82.49,High
User_314,31.89,High
User_315,776.72,Low
User_316,20.0,High
User_317,40.07,High
User_318,10.1,High
User_319,40.07,High
User_320,132.63,High
User_321,476.06,Medium
User_322,20.0,High
User_323,11.15,High
User_324,105.49,High
User_325,115.2,High
User_326,40.07,High
User_327,82.71,High
User_328,20.0,High
User_329,10.1,High
User_330,367.47,High
User_331,31.89,High
User_332,20.0,High
User_333,1000.0,Low
User_334,59.86,High
User_335,20.0,High
User_336,95.17,High
User_337,999.62,Low
User_338,194.72,High
User_339,71.67,High
User_340,37.19,High
User_341,20.0,High
User_342,20.0,High
User_343,999.17,Low
User_344,47.55,High
User_345,693.05,Medium
User_346,20.0,High
User_347,590.84,Medium
User_348,155.52,High
User_349,31.89,High
User_350,12.07,High
User_351,756.88,Low
User_352,157.11,High
User_353,427.22,Medium
User_354,20.0,High
User_355,40.07,High
User_356,37.19,High
User_357,794.65,Low
User_358,999.96,Low
User_359,42.78,High
User_360,40.07,High
User_361,894.43,Low
User_362,47.61,High
User_363,225.91,High
User_364,20.0,High
User_365,105.17,High
User_366,10.1,High
User_367,20.0,High
User_368,20.0,High
User_369,20.0,High
User_370,631.82,Medium
User_371,20.0,High
User_372,20.0,High
User_373,120.21,High
User_374,562.04,Medium
User_375,365.05,High
User_376,20.0,High
User_377,10.1,High
User_378,258.97,High
User_379,20.0,High
User_380,20.0,High
User_381,24.1,High
User_382,20.0,High
User_383,40.07,High
User_384,98.83,High
User_385,31.89,High
User_386,20.0,High
User_387,561.21,Medium
User_388,1000.0,Low
User_389,20.0,High
User_390,40.07,High
User_391,41.27,High
User_392,20.0,High
User_393,20.0,High
User_394,38.23,High
User_395,10.1,High
User_396,12.07,High
User_397,0.0,High
User_398,312.94,High
User_399,40.28,High
User_400,1000.0,Low
User_401,64.48,High
User_402,999.67,Low
User_403,21.75,High
User_404,116.99,High
User_405,20.0,High
User_406,20.0,High
User_407,64.48,High
User_408,51.22,High
User_409,64.48,High
User_410,418.92,Medium
User_411,37.19,High
User_412,51.16,High
User_413,10.1,High
User_414,20.0,High
User_415,55.97,High
User_416,289.66,High
User_417,31.89,High
User_418,64.48,High
User_419,999.96,Low
User_420,0.0,High
User_421,159.73,High
User_422,35.85,High
User_423,37.19,High
User_424,263.26,High
User_425,12.07,High
User_426,37.19,High
User_427,20.0,High
User_428,998.85,Low
User_429,20.0,High
User_430,20.0,High
User_431,1000.0,Low
User_432,537.91,Medium
User_433,996.71,Low
User_434,40.07,High
User_435,20.0,High
User_436,29.6,High
User_437,250.85,High
User_438,20.0,High
User_439,40.07,High
User_440,230.46,High
User_441,175.1,High
User_442,21.75,High
User_443,1000.0,Low
User_444,20.0,High
User_445,37.19,High
User_446,20.0,High
User_447,10.1,High
User_448,1000.0,Low
User_449,1000.0,Low
User_450,12.07,High
User_451,888.65,Low
User_452,29.6,High
User_453,40.07,High
User_454,20.0,High
User_455,20.0,High
User_456,0.0,High
User_457,49.45,High
User_458,20.0,High
User_459,80.39,High
User_460,20.0,High
User_461,20.0,High
User_462,20.0,High
User_463,20.0,High
User_464,1000.0,Low
User_465,69.59,High
User_466,999.43,Low
User_467,20.0,High
User_468,95.17,High
User_469,970.3,Low
User_470,20.0,High
User_471,574.02,Medium
User_472,37.19,High
User_473,338.53,High
User_474,20.0,High
User_475,20.0,High
User_476,20.0,High
User_477,12.07,High
User_478,20.0,High
User_479,20.0,High
User_480,919.18,Low
User_481,583.65,Medium
User_482,40.07,High
User_483,158.36,High
User_484,40.07,High
User_485,59.86,High
User_486,20.0,High
User_487,20.0,High
User_488,90.32,High
User_489,133.77,High
User_490,1000.0,Low
User_491,20.0,High
User_492,29.6,High
User_493,1000.0,Low
User_494,47.61,High
User_495,1000.0,Low
User_496,210.98,High
User_497,20.0,High
User_498,408.82,Medium
User_499,59.86,High
User_500,1000.0,Low
User_501,20.0,High
User_502,73.48,High
User_503,37.19,High
User_504,1000.0,Low
User_505,20.0,High
User_506,40.07,High
User_507,324.27,High
User_508,20.0,High
User_509,20.0,High
User_510,192.32,High
User_511,64.48,High
User_512,20.0,High
User_513,47.61,High
User_514,20.0,High
User_515,706.68,Low
User_516,0.0,High
